node,received,sent,energy
node1,28,0.0,14.0
node98,20,0.0,10.0
node96,20,0.0,10.0
node51,20,0.0,10.0
node120,20,0.0,10.0
node60,20,0.0,10.0
node109,20,0.0,10.0
node105,20,0.0,10.0
node99,20,0.0,10.0
node94,20,0.0,10.0
node52,20,0.0,10.0
node100,20,0.0,10.0
node106,20,0.0,10.0
node50,20,0.0,10.0
node107,20,0.0,10.0
node46,20,0.0,10.0
node48,20,0.0,10.0
node54,20,0.0,10.0
node49,20,0.0,10.0
node53,20,0.0,10.0
node58,20,0.0,10.0
node119,20,0.0,10.0
node59,20,0.0,10.0
node104,20,0.0,10.0
node116,20,0.0,10.0
node57,20,0.0,10.0
node92,20,0.0,10.0
node79,20,0.0,10.0
node113,20,0.0,10.0
node95,20,0.0,10.0
node55,20,0.0,10.0
node93,20,0.0,10.0
node86,20,0.0,10.0
node88,20,0.0,10.0
node97,20,0.0,10.0
node91,20,0.0,10.0
node56,20,0.0,10.0
node81,20,0.0,10.0
node102,20,0.0,10.0
node43,19,0.0,9.5
node42,17,0.0,8.5
node45,17,0.0,8.5
node41,16,0.0,8.0
node30,16,0.0,8.0
node13,16,0.0,8.0
node25,16,0.0,8.0
node17,16,0.0,8.0
node12,16,0.0,8.0
node19,16,0.0,8.0
node11,16,0.0,8.0
node36,16,0.0,8.0
node32,16,0.0,8.0
node35,16,0.0,8.0
node37,16,0.0,8.0
node31,16,0.0,8.0
node34,16,0.0,8.0
node33,16,0.0,8.0
node39,16,0.0,8.0
node2,16,0.0,8.0
node40,16,0.0,8.0
node44,16,0.0,8.0
node47,16,0.0,8.0
node4,16,0.0,8.0
node21,16,0.0,8.0
node9,16,0.0,8.0
node24,16,0.0,8.0
node77,16,0.0,8.0
node72,16,0.0,8.0
node73,16,0.0,8.0
node76,16,0.0,8.0
node82,16,0.0,8.0
node23,16,0.0,8.0
node22,16,0.0,8.0
node66,16,0.0,8.0
node5,16,0.0,8.0
node20,16,0.0,8.0
node3,16,0.0,8.0
node8,16,0.0,8.0
node16,16,0.0,8.0
node29,16,0.0,8.0
node28,16,0.0,8.0
node26,16,0.0,8.0
node18,16,0.0,8.0
node6,16,0.0,8.0
node63,16,0.0,8.0
node27,16,0.0,8.0
node15,16,0.0,8.0
node89,14,0.0,7.0
node118,14,0.0,7.0
node69,14,0.0,7.0
node101,14,0.0,7.0
node38,13,0.0,6.5
node10,12,0.0,6.0
node14,12,0.0,6.0
node7,12,0.0,6.0
node64,9,0.0,4.5
node67,9,0.0,4.5
node80,9,0.0,4.5
node61,9,0.0,4.5
node87,9,0.0,4.5
node110,5,0.0,2.5
node103,5,0.0,2.5
node117,5,0.0,2.5
node111,5,0.0,2.5
node112,5,0.0,2.5
node70,4,0.0,2.0
node114,3,0.0,1.5
node115,3,0.0,1.5
node83,2,0.0,1.0
node65,2,0.0,1.0
node85,2,0.0,1.0
node62,2,0.0,1.0
node71,2,0.0,1.0
node78,2,0.0,1.0
node74,2,0.0,1.0
node84,2,0.0,1.0
node90,2,0.0,1.0
node68,2,0.0,1.0
node75,2,0.0,1.0
